prime,A,x0,trials,cycles,mul_count,inv_count,branch_count,opcount_m3,batch_time_ms,method
1023313,595032,317393,12172,334,66,0,0,66.000,166.24,bruteforce
1023313,328723,801485,160,291,66,0,0,66.000,166.24,bruteforce
1023313,801160,403245,1793,333,66,0,0,66.000,166.24,bruteforce
1023313,554814,192405,8042,333,66,0,0,66.000,166.24,bruteforce
1023313,481080,556530,2054,292,66,0,0,66.000,166.24,bruteforce
1023313,701651,605193,6434,334,66,0,0,66.000,166.24,bruteforce
1023313,607046,841888,343,750,66,0,0,66.000,166.24,bruteforce
1023313,119062,104277,1619,708,66,0,0,66.000,166.24,bruteforce
1023313,702924,825186,19434,291,66,0,0,66.000,166.24,bruteforce
1023313,585361,348562,1294,291,66,0,0,66.000,166.24,bruteforce
1023313,61895,885947,4700,309,66,0,0,66.000,166.24,bruteforce
1023313,434606,14077,112,334,66,0,0,66.000,166.24,bruteforce
1023313,609525,977214,1737,333,66,0,0,66.000,166.24,bruteforce
1024379,468029,193200,10750,334,66,0,0,66.000,215.12,bruteforce
1024379,332795,440811,3352,708,66,0,0,66.000,215.12,bruteforce
1024379,665330,603959,3629,333,66,0,0,66.000,215.12,bruteforce
1024379,728122,994153,6026,291,66,0,0,66.000,215.12,bruteforce
1024379,355632,254441,4761,292,66,0,0,66.000,215.12,bruteforce
1024379,603599,192518,14034,708,66,0,0,66.000,215.12,bruteforce
1024379,737542,22519,18,292,66,0,0,66.000,215.12,bruteforce
1024379,791200,224449,9883,333,66,0,0,66.000,215.12,bruteforce
1024379,558155,737967,308,333,66,0,0,66.000,215.12,bruteforce
1024379,297772,55225,218,750,66,0,0,66.000,215.12,bruteforce
1024379,139774,675469,6233,333,66,0,0,66.000,215.12,bruteforce
1024379,101145,889925,19283,292,66,0,0,66.000,215.12,bruteforce
1024379,448577,234754,2180,292,66,0,0,66.000,215.12,bruteforce
1024379,782796,927099,13599,292,66,0,0,66.000,215.12,bruteforce
1024379,754620,1000002,6323,292,66,0,0,66.000,215.12,bruteforce
1024379,24904,8165,6621,292,66,0,0,66.000,215.12,bruteforce
1024379,511436,638456,1050,334,66,0,0,66.000,215.12,bruteforce
1024379,1000576,876269,17732,334,66,0,0,66.000,215.12,bruteforce
1024379,911257,711417,5055,292,66,0,0,66.000,215.12,bruteforce
1024379,874043,656185,5183,333,66,0,0,66.000,215.12,bruteforce
1026761,740086,67425,24405,292,66,0,0,66.000,720.39,bruteforce
1026761,341885,736568,6284,292,66,0,0,66.000,720.39,bruteforce
1026761,939515,357843,8188,334,66,0,0,66.000,720.39,bruteforce
1026761,194805,882367,22011,333,66,0,0,66.000,720.39,bruteforce
1026761,631918,339261,32666,750,66,0,0,66.000,720.39,bruteforce
1026761,254267,388855,23365,333,66,0,0,66.000,720.39,bruteforce
1026761,293088,491603,45974,292,66,0,0,66.000,720.39,bruteforce
1026761,241681,912833,13474,334,66,0,0,66.000,720.39,bruteforce
1026761,229884,644622,1266,292,66,0,0,66.000,720.39,bruteforce
1026761,174292,397030,9828,292,66,0,0,66.000,720.39,bruteforce
1026761,262715,706016,29285,709,66,0,0,66.000,720.39,bruteforce
1026761,618733,676768,40813,292,66,0,0,66.000,720.39,bruteforce
1026761,303040,330181,20442,292,66,0,0,66.000,720.39,bruteforce
1026761,832655,608682,23379,292,66,0,0,66.000,720.39,bruteforce
1026761,413613,562243,21902,334,66,0,0,66.000,720.39,bruteforce
1026761,888375,768751,7086,333,66,0,0,66.000,720.39,bruteforce
1026761,738144,490662,6723,292,66,0,0,66.000,720.39,bruteforce
1026761,978062,339582,67178,333,66,0,0,66.000,720.39,bruteforce
1026761,109745,932074,32429,292,66,0,0,66.000,720.39,bruteforce
1026761,806897,608806,11899,291,66,0,0,66.000,720.39,bruteforce
1027853,263655,978268,76,17893,1211,3,45,1282.250,1.06,x16_nonsplit_halving
1027853,263655,264585,42,13375,866,0,38,875.500,1.06,x16_nonsplit_halving
1027853,785056,311253,531,17541,1451,3,56,1525.000,1.06,x16_nonsplit_halving
1027853,785056,847188,43,10808,643,0,25,649.250,1.06,x16_nonsplit_halving
1027853,1009908,745750,27,28017,1305,3,52,1378.000,1.06,x16_nonsplit_halving
1027853,1009908,889967,104,21976,884,0,41,894.250,1.06,x16_nonsplit_halving
1027853,984417,29314,75,14459,1117,3,40,1187.000,1.06,x16_nonsplit_halving
1027853,984417,909715,47,12143,807,0,33,815.250,1.06,x16_nonsplit_halving
1027853,19977,559414,94,15250,1123,3,41,1193.250,1.06,x16_nonsplit_halving
1027853,19977,693446,48,11809,737,0,31,744.750,1.06,x16_nonsplit_halving
1027853,403897,529396,912,14683,1126,3,41,1196.250,1.06,x16_nonsplit_halving
1027853,403897,18800,49,12542,860,0,37,869.250,1.06,x16_nonsplit_halving
1027853,420744,342004,639,13708,1091,3,40,1161.000,1.06,x16_nonsplit_halving
